Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,PhotoAmt,target
Cat,25,Persian,Male,Golden,No Color,Medium,Medium,Yes,Yes,Healthy,100,5,0
Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,7,0
Dog,3,Mixed Breed,Female,Brown,Cream,Large,Medium,No,No,Healthy,0,1,1
Dog,24,Rottweiler,Male,Black,Golden,Large,Short,Yes,Yes,Healthy,300,1,1
Cat,12,Domestic Short Hair,Male,Yellow,Cream,Large,Medium,No,No,Healthy,0,8,1
Dog,84,Terrier,Male,Brown,Cream,Small,Medium,Not Sure,No,Healthy,0,5,0
Cat,2,Domestic Short Hair,Male,Golden,White,Small,Short,Yes,No,Healthy,65,15,1
Dog,2,Terrier,Male,Cream,No Color,Medium,Short,No,No,Healthy,0,12,1
Dog,8,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,3,1
Cat,5,Siamese,Male,Cream,Gray,Medium,Short,Not Sure,No,Healthy,250,5,0
Dog,2,Mixed Breed,Male,Brown,White,Medium,Short,No,No,Minor Injury,0,11,1
Cat,10,Domestic Long Hair,Female,Golden,No Color,Medium,Medium,Not Sure,Not Sure,Healthy,0,5,0
Cat,48,Domestic Long Hair,Male,White,No Color,Large,Long,Yes,Yes,Healthy,300,3,1
Dog,48,Cocker Spaniel,Female,Golden,Cream,Small,Medium,Yes,Yes,Healthy,200,8,0
Dog,2,Mixed Breed,Female,Black,White,Medium,Medium,No,No,Healthy,0,4,1
Cat,24,Domestic Short Hair,Male,Brown,Yellow,Large,Short,Yes,No,Healthy,0,2,1
Dog,4,Shih Tzu,Female,Black,Brown,Small,Long,Yes,No,Healthy,400,3,1
Dog,2,Mixed Breed,Male,Brown,Cream,Medium,Short,No,No,Healthy,0,1,1
Cat,2,Domestic Short Hair,Female,White,No Color,Small,Short,No,No,Healthy,0,2,1
Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Not Sure,No,Healthy,0,3,1
Cat,2,Domestic Short Hair,Male,Golden,White,Medium,Short,No,No,Healthy,0,5,1
Dog,60,Poodle,Female,Cream,White,Small,Medium,Not Sure,Yes,Healthy,250,3,1
Dog,36,Mixed Breed,Male,Black,Brown,Large,Short,Yes,Yes,Healthy,0,2,1
Dog,2,Mixed Breed,Male,White,No Color,Small,Short,Yes,No,Healthy,0,3,0
Dog,1,Mixed Breed,Female,Black,White,Medium,Medium,No,No,Healthy,0,2,1
Cat,4,Domestic Short Hair,Female,Brown,Yellow,Medium,Short,No,No,Healthy,0,2,1
Dog,1,Jack Russell Terrier,Male,Brown,White,Medium,Medium,No,No,Healthy,0,1,1
Dog,24,Miniature Pinscher,Female,Black,No Color,Medium,Short,Yes,Yes,Healthy,0,4,1
Cat,6,Domestic Short Hair,Female,Yellow,White,Small,Short,Yes,Yes,Healthy,0,2,0
Cat,3,Domestic Medium Hair,Male,Black,Brown,Medium,Medium,No,Not Sure,Healthy,0,6,0
Cat,6,Domestic Short Hair,Female,Black,White,Small,Short,Not Sure,Not Sure,Healthy,0,3,1
Dog,4,Mixed Breed,Female,Black,No Color,Medium,Short,Yes,No,Healthy,0,7,0
Dog,3,Mixed Breed,Male,Brown,White,Large,Medium,Not Sure,No,Healthy,0,3,1
Dog,2,Mixed Breed,Female,Cream,No Color,Medium,Medium,Yes,No,Healthy,0,5,0
Dog,14,Spitz,Male,Black,Golden,Medium,Medium,Yes,Yes,Healthy,0,4,1
Cat,7,Domestic Short Hair,Male,Black,White,Medium,Short,Yes,Yes,Healthy,50,2,1
Dog,1,Mixed Breed,Female,Black,White,Medium,Medium,Yes,No,Healthy,0,19,1
Dog,24,Mixed Breed,Male,Black,White,Medium,Short,Not Sure,Yes,Healthy,0,2,1
Dog,2,Mixed Breed,Female,Black,White,Medium,Short,No,Not Sure,Minor Injury,0,3,1
Dog,38,Mixed Breed,Male,Cream,White,Medium,Medium,Yes,No,Healthy,80,2,1
Dog,5,Mixed Breed,Female,Brown,Golden,Medium,Medium,No,No,Healthy,0,5,0
Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,9,1
Cat,2,Calico,Female,Black,Cream,Medium,Short,No,No,Healthy,0,3,1
Dog,2,Mixed Breed,Male,Brown,Golden,Medium,Medium,No,No,Healthy,50,3,1
Cat,1,Tabby,Male,Black,White,Small,Medium,No,No,Healthy,0,9,1
Dog,8,Mixed Breed,Female,Black,White,Medium,Short,Yes,Yes,Healthy,0,6,1
Dog,1,Mixed Breed,Female,Brown,Cream,Medium,Short,No,No,Healthy,0,5,1
Dog,2,Mixed Breed,Female,Black,Golden,Medium,Medium,No,No,Healthy,0,3,1
Cat,8,Domestic Short Hair,Female,Gray,White,Medium,Short,Yes,No,Healthy,0,5,1
Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Short,No,No,Healthy,0,1,1
Cat,3,Siamese,Male,Cream,White,Medium,Short,Yes,No,Healthy,0,2,1
Cat,1,Domestic Medium Hair,Female,Brown,Golden,Medium,Medium,No,No,Healthy,0,0,1
Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,1,1
Cat,8,Domestic Long Hair,Female,White,No Color,Small,Medium,No,Yes,Healthy,100,2,1
Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,1,1
Cat,2,Domestic Medium Hair,Female,Black,Gray,Medium,Medium,No,No,Healthy,0,2,1
Dog,1,Mixed Breed,Female,Black,Golden,Medium,Short,No,No,Healthy,0,7,1
Dog,18,Labrador Retriever,Female,Brown,Golden,Large,Short,Yes,Yes,Healthy,0,0,1
Dog,6,Poodle,Female,Brown,Golden,Medium,Medium,Yes,No,Healthy,0,1,1
Dog,5,Mixed Breed,Female,Brown,White,Medium,Short,No,No,Healthy,0,1,1
Cat,1,Domestic Short Hair,Female,Black,White,Small,Short,No,No,Healthy,0,3,1
Dog,2,Mixed Breed,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,2,1
Cat,31,Tabby,Female,Black,Brown,Large,Short,Yes,Yes,Healthy,0,5,0
Cat,3,Domestic Medium Hair,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,1,1
Dog,2,Mixed Breed,Male,Brown,White,Small,Short,No,No,Healthy,0,1,1
Cat,3,Domestic Medium Hair,Female,Golden,Cream,Medium,Medium,No,No,Healthy,50,0,1
Dog,48,Mixed Breed,Female,Brown,White,Medium,Short,Yes,Yes,Healthy,0,3,0
Cat,14,Calico,Female,Black,Golden,Small,Short,Yes,Yes,Healthy,0,1,1
Dog,3,Mixed Breed,Female,Black,White,Medium,Short,Yes,No,Healthy,0,2,1
Dog,4,Mixed Breed,Male,Golden,No Color,Medium,Short,Yes,No,Healthy,155,1,0
Cat,5,Domestic Short Hair,Female,Cream,White,Medium,Short,No,No,Healthy,0,4,1
Cat,4,Domestic Medium Hair,Female,Yellow,White,Medium,Medium,No,No,Healthy,100,2,1
Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,20,1,1
Cat,4,Domestic Short Hair,Female,Black,Yellow,Medium,Short,Yes,No,Healthy,0,9,1
Cat,2,Domestic Short Hair,Male,Black,Gray,Small,Medium,Yes,No,Healthy,0,4,1
Dog,3,Mixed Breed,Female,Brown,Golden,Medium,Medium,Yes,No,Healthy,0,5,1
Dog,1,Mixed Breed,Male,Brown,No Color,Medium,Short,No,No,Healthy,0,2,1
Cat,0,Domestic Medium Hair,Male,Brown,Cream,Small,Medium,No,No,Healthy,0,4,1
Dog,48,Mixed Breed,Female,Black,Cream,Medium,Medium,Yes,Yes,Healthy,0,2,1
Dog,2,Terrier,Male,Brown,Cream,Medium,Short,No,No,Healthy,0,2,1
Cat,2,Domestic Short Hair,Male,Golden,No Color,Medium,Medium,No,No,Healthy,0,4,1
Dog,3,Mixed Breed,Female,Brown,White,Small,Short,Yes,No,Minor Injury,0,2,1
Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,1,1
Cat,36,Tabby,Female,Brown,Cream,Medium,Short,Yes,Yes,Healthy,0,5,1
Dog,7,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,Not Sure,Healthy,0,0,0
Cat,3,Snowshoe,Female,Brown,Cream,Medium,Short,No,No,Healthy,50,2,0
Dog,60,Shih Tzu,Male,Brown,White,Medium,Medium,Not Sure,Not Sure,Healthy,0,2,1
Dog,60,Shih Tzu,Male,Black,White,Small,Medium,Yes,No,Healthy,0,4,1
Cat,4,Domestic Short Hair,Male,Yellow,White,Small,Short,No,No,Healthy,0,4,1
Cat,2,Domestic Short Hair,Female,Black,Yellow,Medium,Short,No,No,Healthy,0,2,0
Dog,12,Mixed Breed,Male,Black,White,Medium,Medium,Not Sure,Not Sure,Healthy,0,5,1
Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,No,Healthy,0,1,0
Dog,1,Mixed Breed,Female,Brown,White,Medium,Medium,No,No,Healthy,0,1,1
Cat,3,Domestic Short Hair,Female,Yellow,White,Small,Short,No,No,Healthy,0,0,0
Dog,24,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,Yes,Healthy,0,3,1
Cat,12,Domestic Short Hair,Female,White,No Color,Small,Short,Not Sure,Not Sure,Healthy,0,1,1
Dog,48,Dachshund,Male,Cream,White,Medium,Medium,Yes,Not Sure,Healthy,0,2,1
Cat,3,Domestic Short Hair,Female,Black,No Color,Medium,Short,No,No,Healthy,0,4,1
Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,20,1,1
Cat,2,Domestic Short Hair,Male,Gray,No Color,Small,Short,No,No,Healthy,0,1,1
Dog,12,Mixed Breed,Female,Brown,White,Medium,Medium,Yes,Yes,Healthy,0,2,1
Dog,1,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,1,1
Cat,3,Domestic Short Hair,Female,Black,Yellow,Medium,Short,No,No,Healthy,0,3,1
Cat,8,Domestic Short Hair,Male,Brown,Golden,Medium,Short,Not Sure,No,Healthy,0,3,0
Cat,3,Domestic Medium Hair,Female,Black,Golden,Small,Medium,No,No,Healthy,0,2,1
Cat,5,Domestic Medium Hair,Male,Golden,Yellow,Medium,Medium,Not Sure,Not Sure,Minor Injury,0,2,1
Dog,38,Mixed Breed,Female,Black,No Color,Small,Medium,Yes,Yes,Healthy,80,5,0
Cat,2,Domestic Short Hair,Male,Black,Brown,Small,Short,No,No,Healthy,0,11,1
Dog,12,Labrador Retriever,Male,Yellow,No Color,Medium,Short,No,Yes,Healthy,30,1,0
Dog,1,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,2,1
Dog,2,Hound,Female,Black,No Color,Medium,Short,Yes,Yes,Healthy,0,7,1
Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,3,1
Cat,4,Oriental Short Hair,Female,Golden,Gray,Small,Short,No,No,Healthy,0,2,0
Dog,3,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,13,1
Dog,1,Mixed Breed,Female,Brown,White,Medium,Medium,No,No,Healthy,0,7,1
Dog,3,Mixed Breed,Male,Brown,No Color,Medium,Short,Yes,No,Healthy,0,1,1
Dog,2,Mixed Breed,Male,Black,Brown,Medium,Medium,Yes,No,Healthy,60,3,1
Cat,9,Persian,Male,Black,White,Large,Long,No,No,Healthy,150,4,0
Cat,6,Domestic Medium Hair,Male,Brown,White,Medium,Medium,No,No,Healthy,0,1,1
Cat,2,Domestic Short Hair,Female,Black,White,Small,Short,Yes,No,Healthy,0,25,1
Dog,60,Pug,Male,Black,Cream,Medium,Short,Yes,Yes,Healthy,0,3,1
Cat,1,Domestic Short Hair,Female,Cream,No Color,Medium,Short,No,No,Healthy,0,1,1
Cat,1,Domestic Short Hair,Female,Black,Gray,Small,Short,No,No,Healthy,0,3,1
Cat,6,Siamese,Female,Black,Brown,Small,Short,Not Sure,Not Sure,Healthy,50,24,0
Cat,4,Tabby,Male,Black,Brown,Medium,Medium,No,No,Healthy,0,5,1
Dog,2,Doberman Pinscher,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,3,1
Dog,2,Mixed Breed,Female,Brown,White,Medium,Short,Yes,Not Sure,Healthy,50,3,1
Dog,36,Golden Retriever,Female,Golden,No Color,Large,Medium,Yes,No,Healthy,0,1,1
Dog,4,Husky,Female,Brown,White,Large,Short,Yes,No,Healthy,50,2,1
Dog,4,Mixed Breed,Female,Brown,White,Medium,Short,No,No,Healthy,0,3,1
Dog,4,Mixed Breed,Female,Yellow,White,Medium,Short,Not Sure,Not Sure,Healthy,100,1,0
Dog,4,Mixed Breed,Male,Black,No Color,Medium,Short,Yes,No,Healthy,0,4,1
Cat,2,Siamese,Female,Gray,White,Small,Short,No,No,Healthy,0,4,1
Cat,2,Domestic Short Hair,Male,Golden,White,Medium,Short,Yes,No,Healthy,0,1,1
Cat,4,Domestic Medium Hair,Male,Black,White,Small,Medium,No,No,Healthy,50,3,0
Cat,3,Domestic Short Hair,Female,Gray,White,Small,Short,Yes,No,Healthy,10,14,1
Dog,6,Jack Russell Terrier (Parson Russell Terrier),Female,Brown,White,Small,Short,Yes,No,Healthy,500,3,1
Dog,42,Mixed Breed,Female,Black,Brown,Medium,Long,Yes,Yes,Healthy,0,2,0
Cat,3,Domestic Short Hair,Male,Black,White,Small,Short,Yes,Yes,Healthy,0,1,1
Cat,11,Domestic Medium Hair,Male,Brown,Yellow,Medium,Medium,No,No,Healthy,0,2,1
Cat,3,Domestic Long Hair,Male,Gray,White,Medium,Long,Yes,No,Healthy,0,4,1
Cat,2,Domestic Short Hair,Male,Black,Brown,Small,Short,Yes,Not Sure,Healthy,0,1,1
Dog,24,Mixed Breed,Female,Brown,White,Medium,Medium,Yes,Yes,Healthy,0,1,1
Cat,4,Domestic Medium Hair,Male,Golden,White,Small,Medium,Not Sure,No,Minor Injury,0,9,1
Dog,2,Mixed Breed,Male,Brown,Golden,Medium,Short,Yes,No,Healthy,0,4,1
Cat,3,Domestic Short Hair,Female,Black,White,Medium,Medium,No,No,Healthy,0,4,1
Dog,6,Mixed Breed,Female,Brown,White,Medium,Medium,Yes,No,Healthy,0,14,1
Cat,5,Ocicat,Female,Gray,No Color,Medium,Short,Yes,Yes,Healthy,0,1,1
Dog,15,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,4,1
Dog,4,Mixed Breed,Male,Brown,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,3,0
Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,Not Sure,Healthy,0,1,1
Cat,2,Tabby,Male,Gray,No Color,Small,Long,No,No,Healthy,0,3,1
Dog,12,Miniature Pinscher,Female,Black,Yellow,Medium,Short,Yes,No,Healthy,250,3,1
Cat,2,Domestic Medium Hair,Male,Gray,White,Large,Medium,Yes,No,Healthy,100,3,1
Cat,4,Tabby,Female,Black,Gray,Medium,Short,No,No,Healthy,0,2,1
Dog,8,Beagle,Male,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,3,0
Cat,5,Domestic Medium Hair,Male,Yellow,White,Medium,Medium,Yes,No,Healthy,100,4,1
Cat,2,Bengal,Male,Black,White,Small,Medium,No,Not Sure,Healthy,0,2,1
Dog,24,Mixed Breed,Male,Black,Brown,Medium,Medium,No,No,Healthy,100,2,0
Cat,12,Domestic Short Hair,Female,Black,No Color,Medium,Short,No,Yes,Healthy,0,2,1
Cat,14,Domestic Short Hair,Female,Yellow,White,Medium,Short,Yes,Yes,Healthy,0,7,1
Cat,27,Tabby,Male,Golden,Yellow,Medium,Long,Yes,Yes,Healthy,0,2,0
Cat,1,Domestic Medium Hair,Male,Black,White,Medium,Medium,No,No,Healthy,0,4,0
Dog,24,Mixed Breed,Female,Cream,White,Medium,Medium,Yes,Yes,Healthy,1,5,0
Cat,2,Domestic Short Hair,Male,Gray,White,Medium,Short,No,No,Healthy,0,4,1
Dog,2,Mixed Breed,Female,Black,Brown,Large,Short,No,No,Healthy,50,2,0
Dog,2,Mixed Breed,Male,Yellow,No Color,Medium,Short,No,No,Healthy,20,1,1
Dog,24,Mixed Breed,Female,Black,Cream,Medium,Short,Yes,Yes,Healthy,0,1,0
Cat,24,Domestic Short Hair,Female,Cream,Gray,Small,Short,Not Sure,Not Sure,Healthy,0,2,1
Cat,2,Domestic Short Hair,Female,Golden,White,Medium,Short,No,No,Healthy,0,2,1
Cat,2,Domestic Short Hair,Female,Black,Brown,Small,Short,No,No,Healthy,1,1,0
Dog,84,Saint Bernard,Male,Black,Brown,Medium,Medium,Yes,Yes,Healthy,10,2,1
Cat,2,Domestic Short Hair,Male,Gray,White,Medium,Short,No,No,Healthy,50,6,1
Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Not Sure,No,Healthy,0,1,1
Dog,6,Mixed Breed,Female,Brown,Yellow,Medium,Medium,Not Sure,No,Healthy,0,1,0
Cat,2,Domestic Short Hair,Female,Yellow,White,Medium,Short,Yes,No,Healthy,0,10,1
Dog,36,Maltese,Male,White,No Color,Small,Long,Yes,No,Healthy,300,2,1
Dog,3,Husky,Female,Black,Brown,Medium,Medium,No,Yes,Healthy,150,3,1
Dog,3,Mixed Breed,Male,Black,Brown,Medium,Medium,Yes,No,Healthy,0,5,1
Cat,1,Domestic Short Hair,Male,Gray,White,Medium,Short,No,No,Healthy,15,6,1
Dog,24,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,1,2,0
Cat,2,Javanese,Male,Cream,White,Medium,Medium,Not Sure,No,Healthy,0,5,1
Dog,3,Labrador Retriever,Male,Black,No Color,Large,Short,Not Sure,No,Healthy,0,5,1
Cat,2,Domestic Short Hair,Male,Yellow,White,Medium,Short,No,No,Healthy,0,2,1
Cat,36,Domestic Short Hair,Female,Black,Gray,Medium,Long,Yes,Not Sure,Healthy,300,2,0
Cat,12,Domestic Short Hair,Female,Brown,Yellow,Small,Short,No,Yes,Healthy,0,6,1
Cat,29,Persian,Female,Black,Brown,Medium,Long,Not Sure,Not Sure,Healthy,0,2,1
Cat,29,Domestic Short Hair,Female,Gray,No Color,Medium,Short,Yes,Yes,Healthy,0,2,1
Dog,6,Mixed Breed,Female,Black,White,Medium,Short,Not Sure,Not Sure,Minor Injury,0,1,1
Dog,6,Mixed Breed,Male,Brown,White,Medium,Short,Yes,No,Healthy,0,8,0
Dog,17,Shih Tzu,Male,Black,Brown,Medium,Long,Yes,No,Minor Injury,350,14,1
Dog,2,Labrador Retriever,Male,Brown,No Color,Medium,Short,Yes,No,Healthy,0,6,1
Dog,24,Mixed Breed,Male,Golden,Cream,Medium,Short,Yes,No,Healthy,0,3,1
Dog,2,Rat Terrier,Female,Black,Brown,Medium,Short,No,No,Healthy,0,4,1
Dog,24,Mixed Breed,Female,Black,No Color,Small,Short,Yes,Yes,Minor Injury,0,4,0
Dog,1,Mixed Breed,Female,Black,No Color,Medium,Short,No,No,Minor Injury,0,7,1
Dog,2,Mixed Breed,Female,Black,No Color,Medium,Short,No,No,Healthy,0,4,1
Dog,2,Mixed Breed,Female,Brown,White,Medium,Short,Yes,Yes,Healthy,0,1,1
Dog,5,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,1,0
Cat,13,Domestic Short Hair,Male,Gray,No Color,Large,Short,Not Sure,No,Healthy,0,3,0
Cat,2,Domestic Short Hair,Female,Black,Golden,Medium,Short,No,No,Healthy,0,4,1
Dog,1,Mixed Breed,Female,Brown,No Color,Medium,Long,No,No,Healthy,0,4,1
Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,1,1
Cat,1,Tabby,Male,Gray,No Color,Small,Short,No,No,Healthy,0,6,1
Dog,7,Schnauzer,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,100,2,1
Cat,6,Domestic Short Hair,Male,Golden,No Color,Small,Short,No,Yes,Healthy,0,0,0
Cat,9,Domestic Short Hair,Male,Golden,White,Medium,Short,Yes,Yes,Healthy,0,3,1
Dog,36,Mixed Breed,Male,Brown,Golden,Large,Short,Not Sure,No,Healthy,0,2,1
Cat,3,Domestic Short Hair,Male,Gray,White,Medium,Short,Not Sure,Not Sure,Healthy,0,8,1
Cat,1,Domestic Short Hair,Male,Brown,Yellow,Small,Short,No,No,Healthy,0,3,1
Cat,1,Domestic Medium Hair,Female,Gray,White,Small,Medium,Not Sure,No,Healthy,20,6,1
Cat,6,Persian,Male,Gray,White,Medium,Medium,Yes,No,Healthy,0,3,1
Dog,8,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,Yes,Healthy,0,3,0
Cat,8,Domestic Long Hair,Male,Golden,Yellow,Large,Short,No,No,Healthy,50,5,1
Dog,1,Mixed Breed,Female,Black,Brown,Small,Short,No,No,Healthy,0,2,1
Dog,1,Mixed Breed,Female,Brown,White,Medium,Medium,No,No,Healthy,0,1,1
Dog,6,Chihuahua,Female,Brown,No Color,Small,Short,No,No,Healthy,0,2,1
Cat,48,Domestic Short Hair,Male,Black,White,Medium,Short,No,Not Sure,Healthy,0,5,0
Cat,2,Domestic Medium Hair,Male,Golden,White,Medium,Medium,No,No,Minor Injury,0,1,1
Cat,12,Turkish Angora,Female,Cream,White,Medium,Long,Yes,Yes,Healthy,0,5,1
Cat,4,Domestic Short Hair,Female,Golden,Gray,Small,Short,Yes,No,Healthy,0,4,1
Dog,84,Golden Retriever,Female,Black,No Color,Medium,Medium,Yes,No,Healthy,0,1,1
Cat,6,Domestic Short Hair,Female,Cream,White,Small,Short,Yes,Yes,Healthy,0,4,1
Dog,3,Pekingese,Male,Cream,No Color,Small,Medium,Yes,No,Healthy,500,8,1
Cat,1,Domestic Short Hair,Male,Golden,Yellow,Medium,Short,No,No,Healthy,0,3,1
Dog,1,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,1,1
Dog,8,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,4,0
Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,1,1
Cat,5,Domestic Medium Hair,Male,Gray,White,Medium,Medium,Yes,Yes,Healthy,100,11,1
Dog,4,German Shepherd Dog,Male,Black,Brown,Large,Medium,Not Sure,Not Sure,Healthy,0,2,1
Cat,2,Domestic Medium Hair,Female,Black,Golden,Medium,Medium,No,No,Healthy,0,3,1
Cat,84,British Shorthair,Female,Gray,No Color,Medium,Short,Yes,Yes,Healthy,0,5,1
Dog,12,Mixed Breed,Male,Black,No Color,Medium,Short,Yes,Yes,Healthy,0,2,1
Dog,3,Mixed Breed,Female,Black,White,Medium,Short,Yes,No,Healthy,0,1,1
Dog,48,Husky,Female,Gray,White,Large,Long,Not Sure,No,Minor Injury,0,3,1
Cat,4,Persian,Male,Brown,Cream,Small,Long,Yes,No,Healthy,250,4,1
Cat,6,Tuxedo,Female,Black,White,Medium,Short,Yes,No,Healthy,0,7,0
Cat,12,Domestic Long Hair,Male,Black,Gray,Large,Long,Yes,Yes,Healthy,0,2,1
Dog,7,Mixed Breed,Female,Brown,No Color,Small,Short,No,No,Healthy,0,1,0
Cat,4,Tabby,Female,Yellow,White,Medium,Short,Yes,Not Sure,Healthy,0,2,1
Dog,60,Shih Tzu,Male,Cream,White,Small,Medium,Yes,Yes,Healthy,100,11,1
Dog,9,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,9,0
Dog,4,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,1,1
Cat,12,Domestic Short Hair,Female,Black,White,Medium,Short,Yes,No,Healthy,180,2,0
Cat,2,Persian,Female,Black,Yellow,Medium,Medium,No,No,Healthy,50,4,1
Cat,4,Domestic Short Hair,Male,Black,White,Small,Short,No,No,Healthy,0,7,1
Cat,5,Domestic Medium Hair,Female,Black,Gray,Medium,Medium,Yes,Yes,Healthy,0,2,1
Cat,12,Domestic Short Hair,Male,Brown,Cream,Medium,Short,Yes,Yes,Healthy,0,2,1
Dog,12,Mixed Breed,Female,Brown,Cream,Small,Short,Not Sure,Not Sure,Minor Injury,0,2,0
Cat,6,Oriental Short Hair,Male,Black,White,Medium,Short,Yes,Yes,Healthy,0,6,1
Cat,3,Domestic Short Hair,Male,Yellow,White,Small,Short,No,No,Healthy,0,5,1
Dog,12,Terrier,Male,Brown,Cream,Medium,Short,Yes,Yes,Healthy,0,4,1
Dog,17,Australian Shepherd,Female,Black,Brown,Medium,Medium,Yes,Not Sure,Healthy,100,1,0
Cat,1,Domestic Short Hair,Male,Golden,White,Small,Short,No,No,Healthy,0,4,1
Cat,5,Domestic Short Hair,Male,Black,White,Medium,Medium,Yes,No,Healthy,0,4,1
Dog,8,Mixed Breed,Female,Black,Brown,Medium,Long,Yes,Yes,Healthy,0,7,1
Dog,6,Mixed Breed,Male,Brown,White,Medium,Short,Yes,No,Healthy,0,3,0
Cat,2,Domestic Short Hair,Female,Brown,Cream,Medium,Short,No,No,Healthy,0,4,1
Dog,108,Golden Retriever,Male,Golden,No Color,Large,Medium,Yes,Not Sure,Healthy,0,1,1
Dog,48,Husky,Male,Gray,White,Large,Long,Not Sure,Not Sure,Minor Injury,100,1,1
Dog,60,Cocker Spaniel,Female,Cream,No Color,Medium,Long,Yes,No,Minor Injury,0,4,1
Cat,12,Domestic Medium Hair,Male,Brown,No Color,Medium,Medium,No,Yes,Healthy,0,3,0
Dog,1,Mixed Breed,Female,Black,Brown,Medium,Short,Not Sure,No,Healthy,0,4,1
Cat,1,American Shorthair,Female,Black,Yellow,Small,Short,No,No,Healthy,0,1,0
Dog,72,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,4,0
Cat,6,Siamese,Male,Brown,White,Medium,Short,Yes,Yes,Healthy,0,2,0
Cat,2,American Curl,Female,Brown,No Color,Small,Short,No,No,Healthy,0,5,1
Dog,5,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,2,0
Dog,7,Mixed Breed,Female,Black,No Color,Medium,Medium,Yes,Yes,Healthy,0,2,0
Dog,1,Mixed Breed,Male,Brown,No Color,Small,Medium,No,Yes,Healthy,0,2,0
Dog,6,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,6,1
Dog,2,Mixed Breed,Male,Black,No Color,Medium,Medium,No,No,Healthy,0,5,1
Dog,84,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,2,0
Dog,4,Beagle,Male,Black,Brown,Medium,Short,Yes,No,Healthy,600,1,1
Cat,4,Domestic Short Hair,Male,Black,Brown,Small,Short,Not Sure,Not Sure,Healthy,0,3,0
Cat,12,Persian,Male,White,No Color,Medium,Short,Yes,Not Sure,Healthy,0,0,0
Dog,2,Belgian Shepherd Malinois,Male,Brown,No Color,Medium,Short,Not Sure,No,Healthy,0,3,1
Dog,3,Mixed Breed,Female,Black,Brown,Medium,Short,Not Sure,No,Healthy,0,7,1
Cat,5,Bengal,Male,Black,Brown,Small,Short,Yes,Yes,Healthy,0,5,1
Cat,3,Domestic Medium Hair,Male,Yellow,No Color,Small,Medium,Not Sure,Not Sure,Healthy,0,5,1
Dog,1,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,5,1
Dog,2,Mixed Breed,Male,Black,Brown,Medium,Medium,Yes,No,Healthy,0,1,1
Cat,2,Tabby,Male,Brown,Golden,Medium,Short,No,No,Healthy,0,5,1
Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Medium,No,No,Healthy,0,2,0
Dog,3,Mixed Breed,Female,Brown,White,Medium,Medium,No,No,Healthy,0,1,0
